start [seconds];end [seconds];frog species;recording;sequence within recording;ioi* [seconds];situation;* in this case end-to-end intervals
189,544375;189,987293;WSF;3;WSF 1 ;0,671987000000001;alone;
190,201902;190,65928;WSF;3;WSF 1 ;0,695578000000012;alone;
190,943143;191,354858;WSF;3;WSF 1 ;0,860720999999984;alone;
191,529133;192,215579;WSF;3;WSF 1 ;0,780814000000021;alone;
192,35713;192,996393;WSF;3;WSF 1 ;4,16585999999998;alone;
196,594527;197,162253;WSF;3;WSF 1 ;0,704711000000003;alone;
197,379907;197,866964;WSF;3;WSF 1 ;0,622520000000009;alone;
198,025258;198,489484;WSF;3;WSF 1 ;0,670465000000007;alone;
198,734535;199,159949;WSF;3;WSF 1 ;0,509126999999978;alone;
199,303783;199,669076;WSF;3;WSF 1 ;0,436829000000017;alone;
199,803016;200,105905;WSF;3;WSF 1 ;0,251138999999995;alone;
200,116559;200,357044;WSF;3;WSF 1 ;;;
324,136529;324,489645;WSF;3;WSF 2;13,686306;alone;
337,737599;338,175951;WSF;3;WSF 2;40,342791;alone;
378,340661;378,518742;WSF;3;WSF 2;44,739242;alone;
423,124044;423,257984;WSF;3;WSF 2;16,790534;alone;
439,626909;440,048518;WSF;3;WSF 2;0,019787000000008;alone;
440,048518;440,068305;WSF;3;WSF 2;25,157262;alone;
465,052053;465,225567;WSF;3;WSF 2;28,417502;alone;
493,261033;493,643069;WSF;3;WSF 2;16,218241;alone;
509,044729;509,86131;WSF;3;WSF 2;3,91167800000005;alone;
513,29963;513,772988;WSF;3;WSF 2;0,181885999999963;alone;
513,847569;513,954874;WSF;3;WSF 2;4,29675699999996;alone;
517,759246;518,251631;WSF;3;WSF 2;5,05169599999999;alone;
522,724946;523,303327;WSF;3;WSF 2;0,805926999999997;alone;
523,425091;524,109254;WSF;3;WSF 2;6,52352200000007;alone;
530,030803;530,632776;WSF;3;WSF 2;1,55477699999994;alone;
531,613739;532,187553;WSF;3;WSF 2;3,52888200000007;alone;
534,979;535,716435;WSF;3;WSF 2;2,35385499999995;alone;
537,479734;538,07029;WSF;3;WSF 2;0,901817000000051;alone;
538,496465;538,972107;WSF;3;WSF 2;1,65371099999993;alone;
539,927196;540,625818;WSF;3;WSF 2;0,984769000000028;alone;
540,995677;541,610587;WSF;3;WSF 2;5,789131;alone;
546,806878;547,399718;WSF;3;WSF 2;;;
597,821547;598,169337;WSF;3;;;;
;;;;;;;
0;0,310906;WSF;4;WSF 1;1,421076;alone;
1,246508;1,731982;WSF;4;WSF 1;0,878615;alone;
2,12368;2,610597;WSF;4;WSF 1;0,804315;alone;
2,93593;3,414912;WSF;4;WSF 1;0,432094;alone;
3,448816;3,847006;WSF;4;WSF 1;0,322447;alone;
3,880909;4,169453;WSF;4;WSF 1;1,843792;alone;
5,503966;6,013245;WSF;4;WSF 1;1,983015;alone;
7,5079;7,99626;WSF;4;WSF 1;2,702931;alone;
10,000916;10,699191;WSF;4;WSF 1;0,818021;alone;
11,02236;11,517212;WSF;4;WSF 1;0,735063999999999;alone;
11,945699;12,252276;WSF;4;WSF 1;0,435701;alone;
12,413139;12,687977;WSF;4;WSF 1;0,211358000000001;alone;
12,695912;12,899335;WSF;4;WSF 1;2,201586;alone;
14,587314;15,100921;WSF;4;WSF 1;2,195816;alone;
16,846609;17,296737;WSF;4;WSF 1;0,711980999999998;alone;
17,676893;18,008718;WSF;4;WSF 1;0,587186000000003;alone;
18,283556;18,595904;WSF;4;WSF 1;0,647779999999997;alone;
18,799327;19,243684;WSF;4;WSF 1;4,31156;alone;
23,053179;23,555244;WSF;4;WSF 1;0,591514;alone;
23,770209;24,146758;WSF;4;WSF 1;0,314513000000002;alone;
24,027013;24,461271;WSF;4;WSF 1;1,150567;alone;
25,126363;25,611838;WSF;4;WSF 1;1,006295;alone;
26,003535;26,618133;WSF;4;WSF 1;0,717752000000001;alone;
26,895135;27,335885;WSF;4;WSF 1;0,680240999999999;alone;
27,590524;28,016126;WSF;4;WSF 1;1,500426;alone;
29,134232;29,516552;WSF;4;WSF 1;0,334709999999998;alone;
29,516552;29,851262;WSF;4;WSF 1;0,812250000000002;alone;
30,187415;30,663512;WSF;4;WSF 1;1,008459;alone;
31,180005;31,671971;WSF;4;WSF 1;0,911076000000001;alone;
32,387559;32,583047;WSF;4;WSF 1;1,276084;alone;
33,393133;33,859131;WSF;4;WSF 1;0,645616000000004;alone;
34,118099;34,504747;WSF;4;WSF 1;0,485473999999996;alone;
34,530716;34,990221;WSF;4;WSF 1;0,0995479999999986;alone;
34,993107;35,089769;WSF;4;WSF 1;0,201259;alone;
35,100589;35,291028;WSF;4;WSF 1;2,01619700000001;alone;
36,685414;37,307225;WSF;4;WSF 1;0,823791999999997;alone;
37,669347;38,131017;WSF;4;WSF 1;2,650271;alone;
40,218628;40,781288;WSF;4;WSF 1;0,212800999999999;alone;
40,796437;40,994089;WSF;4;WSF 1;2,175618;alone;
42,648164;43,169707;WSF;4;WSF 1;0,519377999999996;alone;
43,252663;43,689085;WSF;4;WSF 1;1,01423;alone;
44,16446;44,703315;WSF;4;WSF 1;0,642729999999993;alone;
44,968054;45,346045;WSF;4;WSF 1;5,01705;alone;
49,883391;50,363095;WSF;4;WSF 1;0,402518000000001;alone;
50,391228;50,765613;WSF;4;WSF 1;0,197651999999998;alone;
50,777154;50,963265;WSF;4;WSF 1;0,797100999999998;alone;
51,222233;51,760366;WSF;4;WSF 1;6,415042;alone;
57,604092;58,175408;WSF;4;WSF 1;1,087088;alone;
58,895324;59,262496;WSF;4;WSF 1;1,439832;alone;
60,200262;60,702328;WSF;4;WSF 1;2,812577;alone;
63,218427;63,514905;WSF;4;WSF 1;2,288871;alone;
65,319023;65,803776;WSF;4;WSF 1;0,776903000000004;alone;
66,274102;66,580679;WSF;4;WSF 1;0,781953000000001;alone;
66,900962;67,362632;WSF;4;WSF 1;0,450127999999992;alone;
67,41457;67,81276;WSF;4;WSF 1;3,432945;alone;
70,698915;71,245705;WSF;4;WSF 1;3,876582;alone;
74,530772;75,122287;WSF;4;WSF 1;0,902418999999995;alone;
75,448341;76,024706;WSF;4;WSF 1;4,437798;alone;
80,116252;80,462504;WSF;4;WSF 1;3,30815100000001;alone;
83,477062;83,770655;WSF;4;WSF 1;0,754540999999989;alone;
84,105365;84,525196;WSF;4;WSF 1;0,327497000000008;alone;
84,727898;84,852693;WSF;4;WSF 1;0,478261000000003;alone;
84,963061;85,330954;WSF;4;WSF 1;1,37851599999999;alone;
86,343741;86,70947;WSF;4;WSF 1;1,05679000000001;alone;
87,255538;87,76626;WSF;4;WSF 1;2,966948;alone;
