Bass,Bass peak,Clave,Clave peak,Guitar,Guitar peak,Tres,Tres peak,Bongos,Bongos peak,Bell,Bell peak,Trumpet,Trumpet peak
112.240072,0.809074,111.802667,0.360255,43.853092,0.232414,58.690093,0.1141,47.530664,0.082425,201.013298,0.656554,149.298322,0.489667
112.676,0.679585,112.261342,0.30667,44.060925,0.407434,58.923287,0.40782,47.73701,0.03817,201.446042,0.059788,149.405386,0.373377
113.99437,0.503356,113.145333,0.346232,44.277684,0.477655,59.164914,0.240445,47.958791,0.033538,201.673012,0.066185,149.508382,0.649412
114.447361,0.448735,113.821194,0.377696,44.480865,0.178893,59.371089,0.109043,48.153577,0.378337,201.884147,0.501836,149.626798,0.581153
115.778321,0.64807,114.460626,0.406266,44.662397,0.47148,59.787962,0.29603,48.381404,0.06095,202.544167,0.118358,149.743625,0.479965
116.180861,0.685228,115.33754,0.317997,44.890582,0.482999,60.044479,0.16657,48.592759,0.028702,202.775968,0.524271,149.84832,0.443113
117.50791,0.526378,115.787042,0.341072,45.137612,0.285002,60.231644,0.134356,48.79986,0.072237,203.210482,0.078393,149.95845,0.565689
117.916277,0.430404,116.66535,0.313922,45.322047,0.389349,60.431669,0.139982,48.999505,0.069988,203.44052,0.082063,150.09142,0.498906
119.294109,0.686899,117.973854,0.494043,45.582293,0.239429,60.651561,0.234203,49.225221,0.06325,203.666074,0.64336,150.228505,0.353126
119.713675,0.751143,118.854679,0.385645,45.792588,0.240182,60.893772,0.293232,49.432137,0.040847,204.091361,0.096367,286.769997,0.214457
121.018694,0.545802,119.310295,0.334986,46.000082,0.572995,61.121913,0.169665,49.655102,0.050569,204.555991,0.529507,286.956183,0.205485
121.426876,0.333199,120.180004,0.326805,46.230071,0.103359,61.353473,0.12793,49.857366,0.464757,204.977903,0.10543,287.103111,0.234312
122.814051,0.712711,120.849234,0.406817,46.431968,0.605322,61.529254,0.320309,50.08641,0.079112,205.209866,0.129781,287.292358,0.410082
123.216886,0.757828,121.486977,0.42155,46.676469,0.292344,61.750246,0.121176,50.51656,0.153082,205.435843,0.529858,287.491715,0.527719
124.554176,0.531752,122.360911,0.432936,46.866679,0.324211,61.944279,0.339928,50.734108,0.104269,205.647782,0.603733,287.60261,0.533404
124.946286,0.423822,122.80611,0.450811,47.063287,0.388781,62.384244,0.309824,50.958716,0.056724,205.860185,0.112332,287.84486,0.242706
125.12413,0.287301,123.690305,0.595144,47.279699,0.264435,62.606246,0.154817,51.166494,0.041269,206.093637,0.171709,288.083716,0.360651
126.321341,0.700975,124.334821,0.450272,47.534609,0.346323,63.264686,0.327618,51.385191,0.165981,206.31831,0.625728,289.214399,0.576756
126.719361,0.67932,124.986835,0.4888,47.722945,0.27071,63.675962,0.247287,51.5916,0.500737,206.768241,0.106189,289.44152,0.338308
