Piece,Label SD,SD,Clave_?,Section,Clave,Bass ,Guitar,Tres,Bongo,Bell,Cajon,Conga,Trumpet,Cl_Dens,Bs_Dens,Gt_Dens,Tr_Dens,Bn_Dens,Bl_Dens,Cj_Dens,Cn_Dens,Tm_Dens
Song_2,13:9,9,N,Son,,,48.589573,,48.592759,,,,,,,5,,5,,,,
Song_2,13:10,10,N,Son,,,48.773301,48.792041,48.79986,,,,,,,5,3,5,,,,
Song_2,13:11,11,4,Son,49.026315,,48.993119,,48.999505,,,,,1.5,,5,,5,,,,
Song_2,13:12,12,N,Son,,,49.207914,49.219702,49.225221,,,,,,,5,3.5,5,,,,
Song_2,13:13,13,5,Son,49.46969,49.423303,49.433252,,49.432137,,,,,2,2,5,,5,,,,
Song_2,13:14,14,N,Son,,,49.624226,49.658236,49.655102,,,,,,,5,3,5,,,,
Song_2,13:15,15,N,Son,,49.849944,49.862641,49.873914,49.857366,,,,,,1.5,5,3,5,,,,
Song_2,13:16,16,N,Son,,,50.084881,50.103504,50.08641,,,,,,,5,3.5,5,,,,
Song_2,14:1,1,1,Son,50.328736,,50.301028,,,,,,,1.5,,5,,,,,,
Song_2,14:2,2,N,Son,,,50.50956,,50.51656,,,,,,,5,,4.5,,,,
Song_2,14:3,3,N,Son,,,50.706641,50.699097,50.734108,,,,,,,5,3,4.5,,,,
Song_2,14:4,4,2,Son,50.981896,,50.941723,50.924912,50.958716,,,,,2,,5,3,4.5,,,,
