Piece,Label SD,SD,Clave_?,Section,Clave,Bass ,Guitar,Tres,Bongo,Bell,Cajon,Conga,Trumpet,Cl_Dens,Bs_Dens,Gt_Dens,Tr_Dens,Bn_Dens,Bl_Dens,Cj_Dens,Cn_Dens,Tm_Dens,Cl_Peak,Bs_Peak,Gt_Peak,Tr_Peak,Bn_Peak,Bl_Peak,Cj_Peak,Cn_Peak,Tm_Peak
Song_1,8|4,4,N,Son,,61.024605,,61.063806,,,61.055583,,,,2.5,,1,,,3,,,,0.410057,,0.088318,,,0.379753,,
Song_1,8|5,5,2,Son,,61.217753,,,,,,,,,2.5,,,,,,,,,0.31366,,,,,,,
Song_1,8|6,6,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,8|7,7,N,Son,,,,61.557125,,,61.604877,,,,,,1.5,,,3,,,,,,0.117707,,,0.617574,,
Song_1,8|8,8,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,8|9,9,3,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,8|10,10,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,8|11,11,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,8|12,12,4,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,8|13,13,N,Son,,62.678949,,,,,,,,,1.5,,,,,,,,,0.453271,,,,,,,
Song_1,8|14,14,N,Son,,,62.842994,,,,,62.827465,,,,0.5,,,,,4,,,,0.133932,,,,,0.147285,
Song_1,8|15,15,5,Son,,,63.02898,,,,,63.013137,,,,1,,,,,4,,,,0.1128,,,,,0.288549,
Song_1,8|16,16,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,9|1,1,N,Son,,63.368053,63.409755,,,,,,,,1,1.5,,,,,,,,0.481846,0.36549,,,,,,
Song_1,9|2,2,N,Son,,,,,,,,63.572222,,,,,,,,,3.5,,,,,,,,,0.048872,
Song_1,9|3,3,1,Son,,,,,,,,63.753933,,,,,,,,,3.5,,,,,,,,,0.058945,
Song_1,9|4,4,N,Son,,63.942007,63.947094,,,,,63.951621,,,1.5,2,,,,,4,,,0.464467,0.277746,,,,,0.026697,
Song_1,9|5,5,2,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,9|6,6,N,Son,,64.287995,,,,,,64.294188,,,2,,,,,,3.5,,,0.29134,,,,,,0.102021,
Song_1,9|7,7,N,Son,,64.481333,64.509251,64.458338,,,,64.470973,,,2.5,2.5,0.5,,,,4,,,0.375599,0.137064,0.06643,,,,0.24849,
Song_1,9|8,8,N,Son,,,,64.655771,,,,64.671369,,,,,1,,,,4,,,,,0.082575,,,,0.257469,
Song_1,9|9,9,3,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,9|10,10,N,Son,,,,,,,,65.014568,,,,,,,,,3.5,,,,,,,,,0.059535,
Song_1,9|11,11,N,Son,,,,,,,,65.186279,,,,,,,,,4,,,,,,,,,0.049898,
Song_1,9|12,12,4,Son,,,,,,,,65.377749,,,,,,,,,4.5,,,,,,,,,0.038137,
Song_1,9|13,13,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
