Bass,Bass peak,Clave,Clave peak,Guitar,Guitar peak,Tres,Tres peak,Bongos,Bongos peak,Bell,Bell peak,Cajon,Cajon peak,Conga,Conga peak,Trumpet,Trumpet peak
54.577098,0.617387,75.248542,0.029355,25.706151,0.247461,37.048184,0.356396,24.995872,0.045407,145.947444,0.118297,254.518368,0.590044,25.240388,0.137036,55.756572,0.103421
54.994231,0.692908,76.247653,0.093154,25.854423,0.392929,37.495957,0.137909,25.120386,0.113391,146.26635,0.316928,255.352166,0.204646,25.394916,0.020712,55.945241,0.119901
55.736877,0.595188,77.462118,0.039234,26.038613,0.334243,37.631636,0.455438,25.260576,0.594041,146.840425,0.316893,255.637656,0.612128,25.69107,0.111262,57.663896,0.114803
56.185185,0.505837,78.610943,0.048171,26.306163,0.304312,37.935829,0.113517,25.420063,0.026892,147.102863,0.474611,256.55926,0.306661,25.829643,0.375298,58.10749,0.138359
56.642492,0.315675,79.78768,0.025093,26.44086,0.156071,38.186773,0.513277,25.583711,0.083478,147.394441,0.365793,256.828532,0.52381,25.996909,0.418393,58.276011,0.215584
56.939233,0.642523,79.943397,0.028934,26.595553,0.293233,38.460312,0.118519,25.698625,0.032407,147.54315,0.459028,257.629858,0.324795,26.282869,0.040956,58.397618,0.182383
57.351265,0.454839,80.842007,0.025633,26.736342,0.206995,38.618281,0.225527,25.838706,0.090604,147.663693,0.140945,257.910972,0.617251,26.416649,0.103393,58.536547,0.248772
57.67553,0.512067,81.12253,0.035546,26.870334,0.292757,38.746405,0.123557,25.992564,0.18484,147.819775,0.234557,258.78593,0.271258,26.565975,0.070189,58.680747,0.394941
58.10337,0.397168,81.560329,0.042818,27.006548,0.347597,38.893733,0.302921,26.161198,0.048843,147.982809,0.396038,259.052289,0.516417,26.865873,0.094438,58.847013,0.521506
58.675578,0.410287,82.292096,0.031596,27.166529,0.305091,39.035318,0.157376,26.291778,0.069296,148.228657,0.141006,259.894844,0.386822,27.004091,0.405488,59.016403,0.50148
59.242326,0.377022,85.656989,0.035636,27.321165,0.209527,39.17122,0.172435,26.441118,0.061279,148.391011,0.42792,260.172089,0.588161,27.158887,0.427733,59.21808,0.268406
59.658387,0.45959,86.966395,0.028019,27.457424,0.317025,39.33362,0.23009,26.59479,0.035473,148.665832,0.363075,261.046827,0.31577,27.333371,0.112164,59.440171,0.269586
60.124007,0.313871,87.966534,0.033831,27.594962,0.481666,39.797923,0.122551,26.743362,0.015005,148.957783,0.157712,261.307042,0.432024,27.451176,0.060934,59.661689,0.24352
60.429132,0.451424,89.302049,0.029525,27.750332,0.250184,39.945237,0.446236,26.864997,0.135365,149.11583,0.450435,262.160917,0.272604,27.551037,0.166024,59.876325,0.292052
60.842284,0.467877,90.273595,0.034306,27.897244,0.151445,40.379915,0.105253,27.013145,0.104567,149.391218,0.375751,262.453842,0.541202,27.740086,0.195824,60.089054,0.265725
61.625209,0.418519,90.450173,0.046118,28.025331,0.276169,40.538635,0.412575,27.14628,0.566526,149.686013,0.235381,263.325783,0.14109,27.922411,0.17086,60.272091,0.177962
62.085275,0.663524,90.571615,0.045698,28.162997,0.58459,40.980581,0.55618,27.327023,0.50068,149.824004,0.341969,263.590523,0.580537,28.014913,0.084184,60.463796,0.356815
62.991009,0.661119,91.769536,0.04912,28.332915,0.380271,42.172559,0.171769,27.543502,0.590636,150.093399,0.19137,264.422165,0.228134,28.147895,0.434415,60.665548,0.365851
63.273177,0.472035,92.638573,0.042024,28.486064,0.396347,42.325094,0.31172,27.7323,0.823214,150.252637,0.323132,264.70822,0.564051,28.310274,0.47595,60.857399,0.163119
64.205259,0.625696,93.011542,0.166351,28.635227,0.43532,42.637254,0.281402,27.916062,0.688681,150.512111,0.077913,265.641997,0.369189,28.607522,0.073131,61.054195,0.187774
64.485145,0.617557,93.471759,0.129136,28.776779,0.191908,42.898429,0.129091,28.156129,0.097097,150.668958,0.259081,265.910592,0.427081,28.729591,0.113164,61.2844,0.329812
64.743403,0.303794,93.77759,0.086745,28.923156,0.315401,43.306843,0.24445,28.32696,0.225815,150.936352,0.168339,266.672645,0.351441,28.887073,0.04624,61.460604,0.223622
65.213713,0.532019,94.033584,0.107926,29.082002,0.363023,44.474124,0.148057,28.484371,0.02432,151.234549,0.130646,266.96731,0.517755,29.192592,0.138812,61.62854,0.125232
65.627946,0.428403,94.633239,0.131296,29.338578,0.304341,44.67384,0.314212,28.60458,0.199765,151.373283,0.331946,267.818957,0.400635,29.319226,0.459196,62.042174,0.152458
